,Year,SI23,SI24,SI25,SI_WCVI,p23,p24,p25
1,1951,3469.611223,2366.084712,13761.05143,19596.74737,0.177050362,0.120738644,0.702210993
2,1952,8374.130081,1972.75096,2962.934842,13309.81588,0.629169491,0.14821775,0.222612759
3,1953,10370.96646,2430.729958,26769.00368,39570.7001,0.26208701,0.06142752,0.676485471
4,1954,6035.67201,1840.191108,12772.24062,20648.10374,0.292311201,0.089121555,0.618567244
5,1955,4781.374665,1436.373451,8894.311912,15112.06003,0.316394632,0.095048157,0.588557212
6,1956,11581.36332,395.335875,15206.2864,27182.9856,0.426051924,0.014543505,0.559404571
7,1957,7670.648658,449.4380236,35993.94334,44114.03002,0.173882292,0.010188097,0.815929611
8,1958,8199.292791,2403.370906,8383.303894,18985.96759,0.431860676,0.126586696,0.441552628
9,1959,1696.414548,3386.749252,7896.290674,12979.45447,0.130699988,0.260931556,0.608368456
10,1960,2923.920174,2246.85524,843.9219689,6014.697383,0.486129224,0.373560812,0.140309963
11,1961,3482.554315,4309.687242,2763.264269,10555.50583,0.329927753,0.408288083,0.261784164
12,1962,20990.07433,895.7163752,12583.78508,34469.57579,0.608944957,0.025985709,0.365069334
13,1963,7187.501553,2874.117034,1183.012384,11244.63097,0.63919408,0.255599054,0.105206866
14,1964,5118.396301,10879.31693,6763.758262,22761.47149,0.224871063,0.477970721,0.297158216
15,1965,2837.225723,3076.696004,5977.103388,11891.02512,0.238602282,0.258741023,0.502656695
16,1966,1119.578052,1101.564571,1501.3223,3722.464923,0.300762553,0.295923425,0.403314022
17,1967,534.8811088,624.4436354,3653.788931,4813.113675,0.111129956,0.129737978,0.759132067
18,1968,4178.405539,990.0408085,5860.212045,11028.65839,0.378867981,0.089769832,0.531362187
19,1969,5840.850121,609.1221349,4015.396137,10465.36839,0.558112233,0.058203602,0.383684165
20,1970,10248.28364,9229.360829,7433.943869,26911.58834,0.380813035,0.342951175,0.27623579
21,1971,17719.96448,9586.208158,8899.495845,36205.66848,0.489425143,0.26477092,0.245803937
22,1972,10543.52771,11847.56589,19466.1247,41857.2183,0.251892699,0.283047139,0.465060161
23,1973,7362.249166,3819.647396,8299.528089,19481.42465,0.377911231,0.196066123,0.426022647
24,1974,8734.790098,12551.68434,4253.963989,25540.43843,0.34199844,0.491443574,0.166557986
25,1975,11713.77584,26634.20734,10800.54062,49148.5238,0.238334235,0.541912661,0.219753103
26,1976,31952.28969,23337.29799,8910.392171,64199.97985,0.497699373,0.363509429,0.138791199
27,1977,36292.9629,17059.89918,5326.085477,58678.94756,0.618500577,0.290732876,0.090766547
28,1978,11465.92856,17948.25396,16192.68076,45606.86328,0.251407962,0.393542828,0.35504921
29,1979,24271.46476,30648.19142,11477.41742,66397.0736,0.365550218,0.461589491,0.17286029
30,1980,19123.82597,35580.88222,7602.903706,62307.6119,0.306925998,0.571051933,0.122022069
31,1981,16359.24566,27634.04019,7935.333202,51928.61905,0.315033328,0.532154344,0.152812329
32,1982,14739.67555,7325.187489,11418.43009,33483.29313,0.440209853,0.218771417,0.34101873
33,1983,8188.850001,2017.061023,6564.799022,16770.71005,0.488282844,0.120272846,0.39144431
34,1984,6858.760299,14859.12971,2369.574735,24087.46474,0.284743968,0.616882261,0.098373771
35,1985,17140.89876,10524.94103,1924.08185,29589.92164,0.579281654,0.35569344,0.065024905
36,1986,28832.94202,4580.93825,6100.377648,39514.25792,0.729684512,0.115931274,0.154384214
37,1987,9.099434401,8832.109136,8017.035529,16858.2441,0.000539762,0.523904452,0.475555786
38,1988,15572.64895,20955.93591,9713.644836,46242.2297,0.336762502,0.453177454,0.210060045
39,1989,24365.73867,20224.38719,3127.752365,47717.87823,0.510620748,0.423832491,0.065546761
40,1990,18706.62494,21540.64199,6216.284808,46463.55174,0.402608588,0.463603,0.133788412
41,1991,20397.04158,6834.70927,2764.311974,29996.06282,0.679990627,0.227853546,0.092155827
42,1992,15909.5847,20767.92327,5688.859842,42366.36781,0.375523924,0.490198342,0.134277733
43,1993,19790.2021,10282.28655,4319.849825,34392.33848,0.575424731,0.298970265,0.125605004
44,1994,13211.08371,5368.394401,6669.617788,25249.0959,0.523229971,0.212617292,0.264152737
45,1995,11779.41378,8533.04086,6815.666174,27128.12081,0.434214145,0.314545962,0.251239893
46,1996,11499.19001,15200.44431,6421.321434,33120.95575,0.347187747,0.45893737,0.193874883
47,1997,25479.30207,14264.77061,5617.768944,45361.84162,0.561690204,0.314466302,0.123843494
48,1998,10556.50286,26561.89998,3892.907917,41011.31076,0.257404669,0.647672544,0.094922787
49,1999,4452.536582,6673.008174,8608.221259,19733.76602,0.225630352,0.338151784,0.436217864
50,2000,4813.908458,1466.798093,6518.14182,12798.84837,0.376120438,0.114603912,0.50927565
51,2001,2133.22513,2580.079263,8700.524529,13413.82892,0.159031783,0.192344727,0.64862349
52,2002,14982.12303,2107.42008,4152.017566,21241.56068,0.705321198,0.099212111,0.19546669
53,2003,5796.18657,2530.958763,23070.30537,31397.4507,0.184606917,0.080610327,0.734782756
54,2004,6233.920205,1542.693,8655.409292,16432.0225,0.379376319,0.093883331,0.526740351
55,2005,3978.743361,866.1585935,4818.904132,9663.806087,0.411715977,0.089629136,0.498654887
56,2006,1666.964102,713.7094711,494.7201745,2875.393748,0.579734203,0.248212778,0.172053019
57,2007,1776.209943,469.7455209,0,2245.955464,0.790848248,0.209151752,0
58,2008,1855.157727,549.0703567,335.0259357,2739.254019,0.677249249,0.200445213,0.122305538
59,2009,5803.318262,1329.557219,3474.092345,10606.96783,0.547123208,0.12534753,0.327529262
60,2010,1098.246994,194.8290878,1170.802302,2463.878384,0.445739125,0.07907415,0.475186726
61,2011,2581.683528,2889.601907,4192.058004,9663.343439,0.267162556,0.299027135,0.433810309
62,2012,375.3070702,1987.482271,3044.343843,5407.133184,0.069409622,0.367566731,0.563023647
63,2013,4131.476212,752.5417516,7458.372883,12342.39085,0.334738728,0.060972121,0.604289151
64,2014,8792.279013,1301.183797,3843.268046,13936.73086,0.630870977,0.093363631,0.275765392
65,2015,4216.612416,2099.128283,5007.652155,11323.39285,0.372380652,0.185379798,0.44223955
66,2016,11844.54054,5467.150073,3215.869856,20527.56047,0.57700673,0.266332187,0.156661083
67,2017,5273.453256,1526.967249,8933.371622,15733.79213,0.33516734,0.097050173,0.567782487