"scenario","MP","obj1","obj2ObsProb","obj2AcceptProb","obj3a","obj3b","obj4","obj5","minC","maxC","medAAV","D2016","C2016"
"expProd","Unconst_tHR.04_mdc.2",1,0,0.115564701933257,0.306111111111111,0.551388888888889,0.455833333333333,1.38713264509388,1.10398281010679,1.65204515300557,10.8674508142772,0.197614539509149,1.07323117543283
"expProd","Fl1.75_tHR.04_mdc.2",0.990833333333333,0,0.115564701933257,0.256111111111111,0.470833333333333,0.328888888888889,1.73646789221225,1.73612981222158,1.7382467427102,1.53342611581437,0.197614539509149,1.7382467427102
"expProd","currMP_tHR.04_mdc.2",0.966388888888889,0.01,0.115564701933257,0.195833333333333,0.375555555555556,0.220833333333333,1.97661335721116,1.97625699596091,1.97894115571697,0.131985238512888,0.197614539509149,1.97894115571697
"expProd","Unconst_tHR.045_mdc.2",1,0,0.115564701933257,0.254722222222222,0.495555555555556,0.488611111111111,1.53468321724234,1.24217190472291,1.84294724712561,9.38174556473532,0.197614539509149,1.2074957973212
"expProd","Unconst_tHR.045_mdc.2",1,0,0.115564701933257,0.328333333333333,0.564166666666667,0.5925,1.55107857975019,1.242142748781,1.87969165915436,9.42236864695243,0.197614539509149,1.2074957973212
"hiProd","Unconst_tHR.04_mdc.2",1,0,0.104070206893249,0.337777777777778,0.538333333333333,0.303888888888889,1.12865051739062,0.909561564152084,1.33022264304397,14.1097031228608,0.185968054665333,0.973673810507255
"expProd","currMP_tHR.045_mdc.2",0.966388888888889,0.01,0.115564701933257,0.183888888888889,0.362222222222222,0.309722222222222,1.97662159491386,1.97625790539686,1.97894115571697,0.131985238512888,0.197614539509149,1.97894115571697
"expProd","currMP_tHR.045_mdc.2_frt",0.992222222222222,0,0.115564701933257,0.271944444444444,0.480555555555556,0.411111111111111,1.97662803408743,1.97621684367958,1.97894115571697,0.132823532269407,0.197614539509149,1.97894115571697
"hiProd","Unconst_tHR.045_mdc.2",1,0.01,0.104070206893249,0.302222222222222,0.506388888888889,0.345,1.25057615683758,1.00516959855726,1.45094913828855,12.1560199063351,0.185968054665333,1.09546800366702
"hiProd","Fl1.75_tHR.04_mdc.2",0.966111111111111,0.12,0.104070206893249,0.229722222222222,0.391944444444444,0.175,1.73645981913391,1.73622104965887,1.73807626990259,1.53100873752166,0.185968054665333,1.73807626990259
"loProd","Unconst_tHR.04_mdc.2",0.979722222222222,0.05,0.0644064254277127,0.0908333333333333,0.221666666666667,0.105833333333333,1.03803902922493,0.821484866508823,1.18293052474023,15.6394835000638,0.180216209523477,0.950231490131975
"expProd","Fl1.75_tHR.045_mdc.2",0.990833333333333,0,0.115564701933257,0.224444444444444,0.443055555555556,0.430277777777778,1.73649551556264,1.73615220422578,1.7382467427102,1.533826576462,0.197614539509149,1.7382467427102
"hiProd","currMP_tHR.045_mdc.2_frt",0.971666666666667,0.12,0.104070206893249,0.263611111111111,0.426666666666667,0.2625,1.97662153233007,1.97630577034625,1.97873178504174,0.130546478387482,0.185968054665333,1.97873178504174
"loProd","Unconst_tHR.045_mdc.2",0.984166666666667,0.05,0.0644064254277127,0.115277777777778,0.247222222222222,0.181388888888889,1.14823729940665,0.866292976006073,1.33268185211488,14.4758671031379,0.180216209523477,1.0691109544904
"hiProd","currMP_tHR.04_mdc.2",0.903333333333333,0.28,0.104070206893249,0.176388888888889,0.300555555555556,0.106944444444444,1.97664172823371,1.97636707339882,1.97873178504174,0.129406779151147,0.185968054665333,1.97873178504174
"hiProd","currMP_tHR.045_mdc.2",0.903333333333333,0.28,0.104070206893249,0.170277777777778,0.296388888888889,0.168888888888889,1.97664197224895,1.97636707339882,1.97873178504174,0.129406779151147,0.185968054665333,1.97873178504174
"hiProd","Fl1.75_tHR.045_mdc.2",0.966111111111111,0.12,0.104070206893249,0.221666666666667,0.383333333333333,0.247222222222222,1.73646234802373,1.73622860807006,1.73807626990259,1.53100873752166,0.185968054665333,1.73807626990259
"loProd","Unconst_tHR.045_mdc.2",0.978333333333333,0.06,0.0644064254277127,0.07,0.195277777777778,0.113888888888889,1.12802393364385,0.832771127423841,1.32227645238118,15.527928200813,0.180216209523477,1.0691109544904
"loProd","Fl1.75_tHR.04_mdc.2",0.596944444444444,0.52,0.0644064254277127,0.0127777777777778,0.0636111111111111,0.0202777777777778,1.73649355342667,1.73627343960814,1.73817325126282,1.53055270269058,0.180216209523477,1.73817325126282
"loProd","currMP_tHR.045_mdc.2",0.421944444444444,0.62,0.0644064254277127,0.00444444444444444,0.0211111111111111,0.0172222222222222,1.97665413329244,1.97637848720695,1.97884655380662,0.129729034707666,0.180216209523477,1.97884655380662
"loProd","Fl1.75_tHR.045_mdc.2",0.596944444444444,0.52,0.0644064254277127,0.01,0.0602777777777778,0.035,1.7364941130698,1.73627343960814,1.73817325126282,1.53055270269058,0.180216209523477,1.73817325126282
"loProd","currMP_tHR.045_mdc.2_frt",0.621388888888889,0.53,0.0644064254277127,0.0272222222222222,0.0911111111111111,0.0505555555555556,1.97664634519592,1.97635673742873,1.97884655380662,0.130222246225247,0.180216209523477,1.97884655380662
"loProd","currMP_tHR.04_mdc.2",0.421944444444444,0.62,0.0644064254277127,0.00555555555555556,0.0230555555555556,0.0141666666666667,1.97665397777146,1.97637848720695,1.97884655380662,0.129729034707666,0.180216209523477,1.97884655380662
"hiProd","Unconst_tHR.045_mdc.2",1,0,0.104070206893249,0.364722222222222,0.551388888888889,0.421666666666667,1.26982464094203,1.01841450421743,1.48282429861375,12.2510931820864,0.185968054665333,1.09546800366702
"expProd","Unconst_tHR.065_mdc.2_ph3",0.993888888888889,0.01,0.115564701933257,0.0861111111111111,0.235555555555556,0.736944444444444,2.17278031926351,1.88903313730414,2.44096722721261,6.36462270762798,0.197614539509149,2.14801847747451
